,username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
0,breathingmariae,Jes,417308831,419256811259047936,/breathingmariae/status/419256811259047936,2014-01-03 23:59:47,1388793587,0,0,0,0,,,,"Comprei uma asa delta pra tentar um voo. Tentei, não consegui, mas vou tentar de novo.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Comprei uma asa <strong>delta</strong> pra tentar um voo. Tentei, não consegui, mas vou tentar de novo.</p>"
1,BonanzaBargains,BonanzaBargains,50423250,419256807207735296,/BonanzaBargains/status/419256807207735296,2014-01-03 23:59:46,1388793586,0,0,0,0,,,,Lilly Pulitzer Alpha Delta Pi iPhone 4 4/S Cover AD Pi Case  New on Sale $15 on Bonanza    http://www.bonanza.com/listings/129843595 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""it"">Lilly Pulitzer Alpha <strong>Delta</strong> Pi iPhone 4 4/S Cover AD Pi Case  New on Sale $15 on Bonanza    <a class=""twitter-timeline-link"" data-expanded-url=""http://www.bonanza.com/listings/129843595"" dir=""ltr"" href=""http://t.co/gaOOEcBbDd"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.bonanza.com/listings/129843595""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">bonanza.com/listings/12984</span><span class=""invisible"">3595</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
2,srk_nonbiri,セリカ,1051684009,419256772998610944,/srk_nonbiri/status/419256772998610944,2014-01-03 23:59:38,1388793578,1,0,0,0,,,,"@delta_67 
おはようございますm(__)m","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""612530623"" dir=""ltr"" href=""/delta_67""><s>@</s><b><strong>delta</strong>_67</b></a> 
おはようございますm(__)m</p>"
3,plumbers_pal_,rick plumber,1482584461,419256763637325824,/plumbers_pal_/status/419256763637325824,2014-01-03 23:59:36,1388793576,0,0,0,0,,,,Delta Faucet RP44647 Palo Hose Assembly for PullOut http://www.shortvale.com/9vunp  #Assembly #Delta #Faucet #Hose #Palo #PullOut #RP44647,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Delta</strong> Faucet RP44647 Palo Hose Assembly for PullOut <a class=""twitter-timeline-link"" data-expanded-url=""http://www.shortvale.com/9vunp"" dir=""ltr"" href=""http://t.co/H7HD71ZXCM"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.shortvale.com/9vunp""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">shortvale.com/9vunp</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Assembly?src=hash""><s>#</s><b>Assembly</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Delta?src=hash""><s>#</s><b><strong>Delta</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Faucet?src=hash""><s>#</s><b>Faucet</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Hose?src=hash""><s>#</s><b>Hose</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Palo?src=hash""><s>#</s><b>Palo</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PullOut?src=hash""><s>#</s><b>PullOut</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RP44647?src=hash""><s>#</s><b>RP44647</b></a></p>"
4,micberryman,Michelle Berryman,15007057,419256751008256000,/micberryman/status/419256751008256000,2014-01-03 23:59:33,1388793573,0,0,0,0,,,,@HeleneSmith Also a Delta flight. Where did you hear about the computer problems?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""933102379083350017"" dir=""ltr"" href=""/HeleneSmith""><s>@</s><b>HeleneSmith</b></a> Also a <strong>Delta</strong> flight. Where did you hear about the computer problems?</p>"
5,Raven_Mai,Raven Mai,1475206837,419256696167358465,/Raven_Mai/status/419256696167358465,2014-01-03 23:59:20,1388793560,0,0,0,0,,,,Flight delayed... And delayed... And cancelled... Trying yet another airline #travel #delay #delta #usairways #united #snowstorm,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Flight delayed... And delayed... And cancelled... Trying yet another airline <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/travel?src=hash""><s>#</s><b>travel</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/delay?src=hash""><s>#</s><b>delay</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/delta?src=hash""><s>#</s><b><strong>delta</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/usairways?src=hash""><s>#</s><b>usairways</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/united?src=hash""><s>#</s><b>united</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/snowstorm?src=hash""><s>#</s><b>snowstorm</b></a></p>"
6,DELTA_Resources,DELTA Resources Inc.,290103485,419256631919005696,/DELTA_Resources/status/419256631919005696,2014-01-03 23:59:05,1388793545,0,0,0,0,,,,"#job Computer System Analyst-OPNAV N81 - DELTA Resources, Inc. #Arlington #VA http://arlingtonjobnetwork.com/j/5726988  #jobs","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""da""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/job?src=hash""><s>#</s><b>job</b></a> Computer System Analyst-OPNAV N81 - <strong>DELTA</strong> Resources, Inc. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Arlington?src=hash""><s>#</s><b>Arlington</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/VA?src=hash""><s>#</s><b>VA</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://arlingtonjobnetwork.com/j/5726988"" dir=""ltr"" href=""http://t.co/wNYTZ6qx1a"" rel=""nofollow noopener"" target=""_blank"" title=""http://arlingtonjobnetwork.com/j/5726988""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">arlingtonjobnetwork.com/j/5726988</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/jobs?src=hash""><s>#</s><b>jobs</b></a></p>"
7,kenny912,Alex Kenny,16848032,419256590470889472,/kenny912/status/419256590470889472,2014-01-03 23:58:55,1388793535,1,0,0,0,,,,Delta tough hand. #greeklawsuit #greekletters,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Delta</strong> tough hand. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/greeklawsuit?src=hash""><s>#</s><b>greeklawsuit</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/greekletters?src=hash""><s>#</s><b>greekletters</b></a></p>"
8,LarennD,Jefè,33089576,419256571760500736,/LarennD/status/419256571760500736,2014-01-03 23:58:50,1388793530,1,0,1,0,,,,“@dutchess_ync: 2014 I'm gettin a job and keepn it”Delta,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">“<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""392883558"" dir=""ltr"" href=""/dutchess_ync""><s>@</s><b>dutchess_ync</b></a>: 2014 I'm gettin a job and keepn it”<strong>Delta</strong></p>"
9,mari3813,Majo 🎏,282796388,419256559600824320,/mari3813/status/419256559600824320,2014-01-03 23:58:47,1388793527,1,0,0,0,,,,@marconiOrtiz @Delta_LuC .... ¡Que asco!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""265613760"" dir=""ltr"" href=""/marconiOrtiz""><s>@</s><b>marconiOrtiz</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""276082138"" dir=""ltr"" href=""/Delta_LuC""><s>@</s><b><strong>Delta</strong>_LuC</b></a> .... ¡Que asco!</p>"
10,Joaqosmico,🕯🎃Joalloween💀🕯,964347349,419256548586573824,/Joaqosmico/status/419256548586573824,2014-01-03 23:58:45,1388793525,1,0,0,0,,,,@DFrockcity Narvarte; frente a Parque Delta jaja. Tú estás en la de nuestros rumbos?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">@DFrockcity Narvarte; frente a Parque <strong>Delta</strong> jaja. Tú estás en la de nuestros rumbos?</p>"
11,Mike_Gennaro,Mike Gennaro,296368203,419256499865944064,/Mike_Gennaro/status/419256499865944064,2014-01-03 23:58:33,1388793513,0,0,0,0,,,,Delta flight attendants ain't got time for that nonsense. Gave them the boot ASAP. No backwards alphabet or straight line walking test.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Delta</strong> flight attendants ain't got time for that nonsense. Gave them the boot ASAP. No backwards alphabet or straight line walking test.</p>"
12,0105Ocean,過激派ボンバイエ,755013697,419256478453596160,/0105Ocean/status/419256478453596160,2014-01-03 23:58:28,1388793508,1,0,1,0,,,,ﾏｯﾊﾊﾟﾝﾁ( ∩’-’ )=͟͟͞͞@Delta_Chief,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">ﾏｯﾊﾊﾟﾝﾁ( ∩’-’ )=͟͟͞͞@<strong>Delta</strong>_Chief</p>"
13,marianatwinkle,mariana,41829876,419256427064987648,/marianatwinkle/status/419256427064987648,2014-01-03 23:58:16,1388793496,1,0,0,0,,,,"@alfa9_delta vc faz falta lá sim :( aliás todo mundo faz falta, praticamente ninguém entra mais lá","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""159525678"" dir=""ltr"" href=""/alfa9_delta""><s>@</s><b>alfa9_<strong>delta</strong></b></a> vc faz falta lá sim :( aliás todo mundo faz falta, praticamente ninguém entra mais lá</p>"
