,username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
0,Catain_Pri,カテイン,2759067176,518550869130743808,/Catain_Pri/status/518550869130743808,2014-10-04 23:58:56,1412467136,1,0,0,0,,,,@larucan_delta 忘れたンゴ、ガチで,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""266400106"" dir=""ltr"" href=""/larucan_delta""><s>@</s><b>larucan_<strong>delta</strong></b></a> 忘れたンゴ、ガチで</p>"
1,wvukmoore,Kimberly Moore,1069640060,518550863376560128,/wvukmoore/status/518550863376560128,2014-10-04 23:58:54,1412467134,0,0,0,0,,,,@Seahawks @Delta safe flight,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""23642374"" dir=""ltr"" href=""/Seahawks""><s>@</s><b>Seahawks</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""5920532"" dir=""ltr"" href=""/Delta""><s>@</s><b><strong>Delta</strong></b></a> safe flight</p>"
2,iwamoto_yoshi,岩本佳浩,117904654,518550641984012288,/iwamoto_yoshi/status/518550641984012288,2014-10-04 23:58:01,1412467081,0,0,0,0,,,,@omega_11_delta ですよねぇ。実は策士><,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">@omega_11_<strong>delta</strong> ですよねぇ。実は策士&gt;&lt;</p>"
3,RadioBDCMusic,RadioBDC Playlist,960847416,518550639425912832,/RadioBDCMusic/status/518550639425912832,2014-10-04 23:58:01,1412467081,0,0,0,0,,,,"""From Now On"" by Delta Spirit. Listen live: http://bo.st/U7sIul ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""From Now On"" by <strong>Delta</strong> Spirit. Listen live: <a class=""twitter-timeline-link"" data-expanded-url=""http://bo.st/U7sIul"" dir=""ltr"" href=""http://t.co/fbuAqj6uNE"" rel=""nofollow noopener"" target=""_blank"" title=""http://bo.st/U7sIul""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bo.st/U7sIul</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
4,SOWAMBITIOUSLEE,Lee,50698750,518550610304843776,/SOWAMBITIOUSLEE/status/518550610304843776,2014-10-04 23:57:54,1412467074,0,0,0,0,,,,__starrj Delta Alpha Langston U http://instagram.com/p/tv_YYIQ9vQ/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und"">__starrj <strong>Delta</strong> Alpha Langston U <a class=""twitter-timeline-link"" data-expanded-url=""http://instagram.com/p/tv_YYIQ9vQ/"" dir=""ltr"" href=""http://t.co/F4HJOYXeXf"" rel=""nofollow noopener"" target=""_blank"" title=""http://instagram.com/p/tv_YYIQ9vQ/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">instagram.com/p/tv_YYIQ9vQ/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
5,DavidPolaski,David Polaski,418972717,518550471859273728,/DavidPolaski/status/518550471859273728,2014-10-04 23:57:21,1412467041,0,0,0,0,,,,Yorktown leads third set 13-7. Timeout Delta.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Yorktown leads third set 13-7. Timeout <strong>Delta</strong>.</p>"
6,emma_hayleigh,Emma Schmidt,323521176,518550312907706368,/emma_hayleigh/status/518550312907706368,2014-10-04 23:56:43,1412467003,0,0,1,0,,,,Stressful strategizing :/ #hisfirstgame #stillplayedbetterthanme @ Delta Tau Delta http://instagram.com/p/tv_ProKS-f/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Stressful strategizing :/ <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hisfirstgame?src=hash""><s>#</s><b>hisfirstgame</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/stillplayedbetterthanme?src=hash""><s>#</s><b>stillplayedbetterthanme</b></a> @ <strong>Delta</strong> Tau <strong>Delta</strong> <a class=""twitter-timeline-link"" data-expanded-url=""http://instagram.com/p/tv_ProKS-f/"" dir=""ltr"" href=""http://t.co/JWvA5TneqX"" rel=""nofollow noopener"" target=""_blank"" title=""http://instagram.com/p/tv_ProKS-f/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">instagram.com/p/tv_ProKS-f/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
7,diovos,Miguel,427453445,518550308021354496,/diovos/status/518550308021354496,2014-10-04 23:56:42,1412467002,0,0,1,0,,,,@alfa9_delta Tá preto =/,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""159525678"" dir=""ltr"" href=""/alfa9_delta""><s>@</s><b>alfa9_<strong>delta</strong></b></a> Tá preto =/</p>"
8,cdedvd_org,CD e DVD,1132561789,518550286390923264,/cdedvd_org/status/518550286390923264,2014-10-04 23:56:37,1412466997,0,0,0,0,,,,"Delta Machine - ""Delta Machine"" é o álbum de inéditas do grupo Depeche Mode. O álbum é muito intimador;... http://tinyurl.com/bl43x35 ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt""><strong>Delta</strong> Machine - ""<strong>Delta</strong> Machine"" é o álbum de inéditas do grupo Depeche Mode. O álbum é muito intimador;... <a class=""twitter-timeline-link"" data-expanded-url=""http://tinyurl.com/bl43x35"" dir=""ltr"" href=""http://t.co/7BTMzFPXNo"" rel=""nofollow noopener"" target=""_blank"" title=""http://tinyurl.com/bl43x35""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">tinyurl.com/bl43x35</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
9,JRLANDS,JR,14676887,518550195307814912,/JRLANDS/status/518550195307814912,2014-10-04 23:56:15,1412466975,0,0,0,0,,,,"Till next time #cancun thanks jerrysuccar @ delta 34,000ft up http://instagram.com/p/tv_MTbATfy/ ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Till next time <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/cancun?src=hash""><s>#</s><b>cancun</b></a> thanks jerrysuccar @ <strong>delta</strong> 34,000ft up <a class=""twitter-timeline-link"" data-expanded-url=""http://instagram.com/p/tv_MTbATfy/"" dir=""ltr"" href=""http://t.co/nvSUoTCyFF"" rel=""nofollow noopener"" target=""_blank"" title=""http://instagram.com/p/tv_MTbATfy/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">instagram.com/p/tv_MTbATfy/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
10,kaitlynward19,Kaitlyn Ward,131584533,518550152412667905,/kaitlynward19/status/518550152412667905,2014-10-04 23:56:05,1412466965,0,1,0,0,,,,Delta come get us,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Delta</strong> come get us</p>"
11,Sradcridhe,Benjamin Askren,34875450,518550079847014400,/Sradcridhe/status/518550079847014400,2014-10-04 23:55:47,1412466947,1,0,0,0,,,,Man I hope Delta rep in @trekonlinegame's new #DeltaRising expansion is easy as Dyson rep.  (Will be only rep my main will need),"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Man I hope <strong>Delta</strong> rep in <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""86985177"" dir=""ltr"" href=""/trekonlinegame""><s>@</s><b>trekonlinegame</b></a>'s new <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DeltaRising?src=hash""><s>#</s><b>DeltaRising</b></a> expansion is easy as Dyson rep.  (Will be only rep my main will need)</p>"
12,MadziaKam,Magdalena Kamøy,19706339,518550007394217984,/MadziaKam/status/518550007394217984,2014-10-04 23:55:30,1412466930,0,0,0,0,,,,Bli med å stoppe bryllupet! Delta i oppropet mot barneekteskap på den internasjonale jentedagen. http://thndr.it/1usrNtS ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""no"">Bli med å stoppe bryllupet! <strong>Delta</strong> i oppropet mot barneekteskap på den internasjonale jentedagen. <a class=""twitter-timeline-link"" data-expanded-url=""http://thndr.it/1usrNtS"" dir=""ltr"" href=""http://t.co/ftVyWG1nC6"" rel=""nofollow noopener"" target=""_blank"" title=""http://thndr.it/1usrNtS""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">thndr.it/1usrNtS</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
13,rayclaire_,"ray, claire",15374102,518549742838484992,/rayclaire_/status/518549742838484992,2014-10-04 23:54:27,1412466867,0,0,0,0,,,,I really should get R-Type Delta o<-<,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I really should get R-Type <strong>Delta</strong> o&lt;-&lt;</p>"
